Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Time (s)
400,410,403,420,429,417,404,942,0.0
397,410,400,420,429,409,415,399,0.1
393,412,400,410,401,388,404,399,0.2
397,413,407,410,401,388,415,447,0.30000000000000004
393,419,407,411,411,403,402,447,0.4
400,419,407,411,418,403,402,447,0.5
424,417,393,394,413,398,394,6346,0.6000000000000001
424,403,393,394,414,398,391,6346,0.7000000000000001
422,402,396,394,413,398,391,4082,0.8
402,403,398,405,411,383,409,4000,0.9
402,419,398,405,402,383,411,4000,1.0
399,419,398,410,402,415,411,9985,1.1
399,414,395,424,420,415,402,12345,1.2000000000000002
393,407,395,424,420,410,398,13396,1.3
393,407,402,424,420,407,400,13692,1.4000000000000001
407,407,402,389,420,400,398,14681,1.5
407,407,402,416,430,400,400,15037,1.6
407,410,402,416,425,400,394,15037,1.7000000000000002
404,410,407,416,430,402,417,14920,1.8
404,410,409,424,425,404,409,13978,1.9000000000000001
404,408,414,424,425,408,417,13978,2.0
407,413,414,424,425,408,409,14033,2.1
397,408,396,433,409,408,419,14731,2.2
407,413,393,401,408,403,411,15530,2.3000000000000003
411,409,393,426,408,412,419,15530,2.4000000000000004
419,409,416,418,408,408,411,7088,2.5
411,409,424,426,406,408,422,6169,2.6
426,417,416,418,406,408,391,6169,2.7
412,417,421,410,408,412,393,5495,2.8000000000000003
412,410,409,384,420,412,393,5495,2.9000000000000004
412,410,409,384,409,412,402,6848,3.0
407,410,409,407,420,415,422,7842,3.1
412,417,400,412,413,415,422,8646,3.2
407,403,405,412,413,417,402,10319,3.3000000000000003
409,417,405,393,413,415,402,12856,3.4000000000000004
407,419,405,387,418,415,402,12856,3.5
407,419,409,387,418,409,402,12765,3.6
406,414,400,406,416,409,391,10756,3.7
406,414,403,424,415,415,391,10756,3.8000000000000003
406,422,403,406,415,415,395,15739,3.9000000000000004
417,422,403,405,415,400,395,15739,4.0
402,412,402,386,404,400,391,12996,4.1000000000000005
417,412,402,395,404,402,391,8967,4.2
401,417,402,370,404,403,387,7792,4.3
399,419,405,370,422,403,401,7595,4.4
398,431,402,370,415,403,400,7595,4.5
398,426,400,398,420,408,400,7051,4.6000000000000005
398,426,400,421,415,408,400,5743,4.7
398,415,404,398,420,400,395,5043,4.800000000000001
398,415,407,387,410,400,396,4867,4.9
402,406,407,386,416,400,395,4867,5.0
404,408,407,387,416,400,396,4867,5.1000000000000005
402,408,400,393,416,400,402,5402,5.2
399,419,400,393,422,400,411,5402,5.300000000000001
397,419,400,379,415,403,411,5291,5.4
397,406,402,379,422,393,394,5291,5.5
400,406,402,382,415,403,394,5291,5.6000000000000005
402,410,410,401,425,415,400,4988,5.7
400,413,410,401,411,415,400,4907,5.800000000000001
394,413,400,399,422,401,400,4988,5.9
394,413,397,399,411,398,411,13355,6.0
402,420,395,400,411,393,411,13355,6.1000000000000005
402,406,397,408,411,398,405,10930,6.2
402,410,409,400,423,396,405,8277,6.300000000000001
411,406,409,389,425,396,398,8277,6.4
411,410,405,389,425,396,413,8903,6.5
411,406,400,398,417,408,396,8903,6.6000000000000005
412,413,400,415,416,408,398,8318,6.7
412,413,400,405,407,408,396,5212,6.800000000000001
412,413,405,405,395,408,398,5212,6.9
417,405,405,375,407,408,395,10360,7.0
415,405,405,375,404,381,418,10360,7.1000000000000005
419,414,405,396,411,381,418,12971,7.2
415,414,405,396,411,386,418,11669,7.300000000000001
412,405,395,412,418,390,413,12712,7.4
412,405,395,393,418,390,393,12712,7.5
409,413,395,391,425,396,413,12712,7.6000000000000005
424,422,398,391,425,397,409,7389,7.7
409,422,404,386,422,396,417,7200,7.800000000000001
402,422,398,392,418,391,415,7200,7.9
399,429,404,386,418,391,416,6944,8.0
399,410,407,381,399,396,416,6944,8.1
404,418,407,381,413,414,416,7957,8.200000000000001
416,410,403,429,399,429,426,8826,8.3
404,418,403,429,391,414,415,8826,8.4
407,410,405,419,391,398,413,8575,8.5
407,427,405,419,411,398,413,8263,8.6
407,427,410,382,411,405,418,8090,8.700000000000001
395,429,405,396,406,407,418,8009,8.8
390,429,405,396,403,407,418,8009,8.9
395,429,405,396,404,401,410,8104,9.0
390,417,404,391,404,401,417,8366,9.1
399,424,397,391,406,424,417,8366,9.200000000000001
397,424,397,391,413,424,418,7775,9.3
399,424,396,386,422,422,418,6820,9.4
397,408,396,386,422,415,387,5389,9.5
397,407,397,397,422,410,387,5389,9.600000000000001
397,408,407,397,422,397,400,6366,9.700000000000001
395,410,407,384,414,397,413,8138,9.8
402,418,398,384,422,403,411,8921,9.9
393,422,391,389,421,410,411,10117,10.0
393,422,398,389,421,410,406,12724,10.100000000000001
393,415,385,389,401,390,395,12724,10.200000000000001
392,411,393,406,401,390,393,6930,10.3
405,408,393,424,420,385,395,687,10.4
402,408,393,424,420,398,402,641,10.5
404,415,395,419,432,410,402,641,10.600000000000001
404,429,395,404,408,412,402,612,10.700000000000001
407,427,395,384,432,412,2845,588,10.8
407,427,395,398,427,430,3010,555,10.9
394,424,390,377,427,1451,3010,545,11.0
385,424,388,379,416,3351,703,545,11.100000000000001
385,424,388,379,416,3650,552,562,11.200000000000001
388,416,400,379,424,4281,457,562,11.3
388,413,400,382,521,3650,448,514,11.4
385,416,400,388,2979,1769,426,514,11.5
385,413,397,400,12496,499,419,531,11.600000000000001
385,413,397,400,12496,468,417,531,11.700000000000001
402,406,390,400,12146,471,417,519,11.8
419,406,390,2057,3371,468,417,519,11.9
419,406,404,3134,530,442,437,519,12.0
405,424,404,8584,492,442,444,519,12.100000000000001
405,406,404,4062,492,442,444,517,12.200000000000001
402,405,1124,4062,492,469,457,517,12.3
402,405,1124,1811,477,437,435,485,12.4
402,410,1124,1414,477,437,432,480,12.5
402,592,3233,428,451,419,418,478,12.600000000000001
402,2471,3233,428,451,419,418,480,12.700000000000001
402,3735,1185,512,477,434,426,481,12.8
412,5635,632,512,477,434,426,481,12.9
412,5635,518,484,476,393,426,481,13.0
1430,6866,510,477,450,393,426,481,13.100000000000001
6078,1921,510,457,436,393,415,481,13.200000000000001
6566,527,501,430,450,415,415,481,13.3
6078,527,501,430,451,430,424,494,13.4
2559,2067,606,430,481,437,443,494,13.5
714,3435,615,445,491,444,455,493,13.600000000000001
517,5202,615,445,508,437,455,479,13.700000000000001
510,5202,664,447,508,422,434,479,13.8
481,840,5640,447,495,422,426,469,13.9
474,468,5640,482,495,424,426,469,14.0
459,441,1325,1842,523,425,426,474,14.100000000000001
452,431,470,3317,523,457,415,474,14.200000000000001
447,417,449,3317,523,457,409,474,14.3
444,417,446,3232,1629,446,409,453,14.4
447,417,443,682,8986,434,409,452,14.5
443,417,443,452,8986,434,442,453,14.600000000000001
432,410,415,438,6876,784,442,454,14.700000000000001
432,410,415,438,795,4029,442,459,14.8
432,410,426,438,467,4029,441,454,14.9
433,417,444,420,463,4900,441,450,15.0
433,406,444,411,467,626,941,443,15.100000000000001
433,406,439,420,463,626,4459,426,15.200000000000001
435,406,439,411,439,459,10948,426,15.3
427,406,438,420,439,453,10948,424,15.4
427,408,427,399,448,453,14418,421,15.5
427,411,424,420,448,538,4915,421,15.600000000000001
438,411,427,428,446,5632,850,424,15.700000000000001
438,415,431,428,446,10796,563,427,15.8
438,415,431,418,457,10796,543,424,15.9
452,419,432,418,1089,3414,514,409,16.0
452,415,429,418,3407,369,511,409,16.1
425,408,426,403,6454,369,483,427,16.2
425,406,426,403,10192,496,474,447,16.3
427,403,426,487,10192,496,463,447,16.400000000000002
435,403,436,1323,3266,459,461,433,16.5
435,403,436,2088,1435,459,461,428,16.6
447,403,436,7514,553,459,457,428,16.7
457,403,440,7514,531,444,461,428,16.8
457,405,847,7157,496,433,457,428,16.900000000000002
440,408,5281,687,496,432,478,431,17.0
440,411,8313,474,503,432,459,416,17.1
454,420,8313,474,510,432,462,428,17.2
458,1797,1308,470,503,433,459,423,17.3
458,2251,1308,470,463,451,462,428,17.400000000000002
454,2251,451,470,463,451,437,431,17.5
451,456,1964,493,476,442,445,431,17.6
423,449,961,877,477,437,445,431,17.7
423,435,961,2518,477,433,445,431,17.8
443,439,494,4921,503,433,452,419,17.900000000000002
446,423,463,4921,1394,464,445,419,18.0
443,416,463,1218,2836,464,458,416,18.1
437,416,463,834,7134,447,458,411,18.2
428,435,456,522,9512,447,483,411,18.3
437,435,456,476,9512,447,485,418,18.400000000000002
437,421,456,476,1787,1680,485,418,18.5
444,420,456,476,528,6367,472,413,18.6
444,421,456,423,479,11819,472,413,18.7
433,426,456,423,476,11819,478,406,18.8
433,430,456,456,458,5596,495,400,18.900000000000002
433,426,454,456,463,3620,1036,390,19.0
428,432,449,441,463,480,8659,387,19.1
428,426,448,441,464,480,8659,383,19.200000000000003
447,421,448,441,464,480,3149,383,19.3
447,416,447,448,464,1301,542,397,19.400000000000002
425,421,447,449,816,730,496,409,19.5
420,416,449,449,4558,730,487,410,19.6
420,421,449,431,7451,711,474,421,19.700000000000003
428,411,444,430,8911,500,474,421,19.8
428,411,440,430,8911,473,468,404,19.900000000000002
443,409,440,1160,3878,454,455,404,20.0
447,409,437,3249,946,473,455,409,20.1
447,425,434,5617,891,454,443,409,20.200000000000003
442,425,434,9189,688,450,461,409,20.3
430,425,435,9189,502,449,441,405,20.400000000000002
430,413,2371,1919,495,449,443,405,20.5
430,413,2903,1522,481,476,443,403,20.6
431,413,4351,1342,449,476,443,392,20.700000000000003
440,406,4351,487,481,455,467,392,20.8
435,421,3646,484,479,442,467,396,20.900000000000002
435,406,2185,462,479,437,467,397,21.0
435,647,2185,462,472,433,465,396,21.1
432,3350,763,462,472,437,458,403,21.200000000000003
442,3350,524,439,465,440,465,403,21.3
1725,1996,492,435,447,440,443,403,21.400000000000002
10287,459,474,428,447,427,428,393,21.5
10287,380,474,428,447,427,428,393,21.6
581,459,500,428,472,425,430,401,21.700000000000003
532,425,2628,475,472,430,449,401,21.8
464,473,3767,475,472,430,454,400,21.900000000000002
464,437,5229,462,474,447,449,400,22.0
475,442,6467,462,469,450,453,398,22.1
475,440,6467,473,485,450,447,398,22.200000000000003
470,442,487,5878,485,450,453,398,22.3
470,440,487,9081,485,435,447,393,22.400000000000002
460,441,488,9081,495,435,441,403,22.5
460,428,488,1031,3143,459,438,403,22.6
450,431,476,569,9681,466,438,407,22.700000000000003
439,431,476,443,11496,466,445,407,22.8
449,443,468,426,11496,466,452,384,22.900000000000002
449,443,471,414,1186,3649,445,384,23.0
449,437,464,414,488,11649,461,384,23.1
458,431,464,428,481,11649,462,386,23.200000000000003
443,428,464,428,479,6931,635,386,23.3
445,424,459,425,475,1534,2829,385,23.400000000000002
443,424,464,425,439,539,2829,376,23.5
445,426,459,442,475,510,11976,376,23.6
448,428,470,442,483,510,880,362,23.700000000000003
448,436,454,458,483,7038,541,362,23.8
453,436,466,412,443,7038,524,387,23.900000000000002
441,436,458,416,443,4332,524,387,24.0
463,440,466,412,2276,466,521,393,24.1
467,440,458,416,8577,466,491,393,24.200000000000003
467,421,457,446,8577,466,479,401,24.3
462,418,448,1995,715,463,479,407,24.400000000000002
462,418,448,9605,522,453,471,403,24.5
463,431,448,9605,522,459,472,403,24.6
464,431,708,3950,522,459,471,399,24.700000000000003
464,428,5078,1097,511,459,472,393,24.8
464,428,9847,507,494,445,460,399,24.900000000000002
470,443,9847,493,493,445,461,391,25.0
470,3206,313,491,449,455,460,386,25.1
470,8062,313,467,449,455,461,386,25.200000000000003
472,8062,471,467,495,448,456,396,25.3
606,5800,473,467,495,448,456,396,25.400000000000002
606,3864,473,442,491,447,456,396,25.5
467,3864,1080,442,491,442,448,396,25.6
467,492,6128,444,495,442,458,396,25.700000000000003
476,481,8119,444,495,442,448,391,25.8
476,460,8119,450,495,439,463,391,25.900000000000002
450,445,498,3174,480,439,463,395,26.0
450,438,476,3174,511,437,463,401,26.1
468,438,467,419,1011,428,458,401,26.200000000000003
468,443,474,419,3571,428,435,400,26.3
463,457,474,425,3571,439,435,396,26.400000000000002
444,457,474,455,632,3318,458,396,26.5
441,450,474,447,494,3318,478,394,26.6
444,440,457,447,458,1095,478,396,26.700000000000003
441,434,457,442,458,503,463,394,26.8
453,426,459,434,463,467,463,379,26.900000000000002
436,426,459,434,463,445,463,369,27.0
451,431,456,450,462,449,460,369,27.1
451,434,440,450,462,442,450,10642,27.200000000000003
451,434,440,435,462,449,460,10642,27.3
451,443,445,435,476,459,469,2458,27.400000000000002
448,448,445,435,476,459,469,1956,27.5
445,443,445,451,474,444,466,1956,27.6
445,438,447,444,451,444,466,1956,27.700000000000003
445,438,447,444,467,434,475,606,27.8
475,436,437,420,467,434,475,1246,27.900000000000002
475,436,434,420,467,431,473,1246,28.0
475,436,423,441,478,430,473,2666,28.1
459,440,434,443,478,430,473,3259,28.200000000000003
459,455,451,460,478,434,477,10329,28.3
469,455,453,443,481,434,479,10757,28.400000000000002
469,465,451,428,481,434,479,10329,28.5
469,460,444,428,492,432,486,10757,28.6
479,464,444,428,473,432,477,14539,28.700000000000003
479,460,442,430,473,432,475,14539,28.8
479,464,447,445,441,432,475,9074,28.900000000000002
477,464,448,467,441,432,477,8027,29.0
477,464,448,467,482,432,483,7816,29.1
477,455,448,451,482,444,483,5805,29.200000000000003
477,455,434,451,462,444,476,4847,29.3
486,467,446,451,462,448,472,4814,29.400000000000002
486,467,446,464,473,450,472,4482,29.5
472,448,454,476,473,448,472,4482,29.6
472,448,454,476,480,450,474,5163,29.700000000000003
475,452,441,449,480,443,496,5163,29.8
475,455,441,435,480,453,496,4987,29.900000000000002
459,455,441,434,480,453,496,4054,30.0
459,464,443,434,458,453,472,3877,30.1
484,450,443,434,480,454,472,3987,30.200000000000003
484,465,443,435,480,453,481,3987,30.3
484,452,448,435,480,439,481,5716,30.400000000000002
464,457,441,448,473,439,481,7569,30.5
464,452,434,459,473,449,474,7569,30.6
478,455,434,471,485,460,483,1079,30.700000000000003
478,441,436,471,487,470,483,1042,30.8
474,450,437,471,491,470,483,1042,30.900000000000002
467,450,441,468,491,467,484,1042,31.0
467,452,444,445,488,455,478,782,31.1
467,453,444,440,485,465,481,615,31.200000000000003
467,460,444,438,488,455,476,615,31.3
