Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Time (s)
400,410,403,420,429,417,404,942,0.0
397,410,400,420,429,409,415,399,0.12738853503184713
393,412,400,410,401,388,404,399,0.25477707006369427
397,413,407,410,401,388,415,447,0.3821656050955414
393,419,407,411,411,403,402,447,0.5095541401273885
400,419,407,411,418,403,402,447,0.6369426751592357
424,417,393,394,413,398,394,6346,0.7643312101910829
424,403,393,394,414,398,391,6346,0.89171974522293
422,402,396,394,413,398,391,4082,1.019108280254777
402,403,398,405,411,383,409,4000,1.1464968152866242
402,419,398,405,402,383,411,4000,1.2738853503184715
399,419,398,410,402,415,411,9985,1.4012738853503186
399,414,395,424,420,415,402,12345,1.5286624203821657
393,407,395,424,420,410,398,13396,1.6560509554140128
393,407,402,424,420,407,400,13692,1.78343949044586
407,407,402,389,420,400,398,14681,1.910828025477707
407,407,402,416,430,400,400,15037,2.038216560509554
407,410,402,416,425,400,394,15037,2.1656050955414012
404,410,407,416,430,402,417,14920,2.2929936305732483
404,410,409,424,425,404,409,13978,2.4203821656050954
404,408,414,424,425,408,417,13978,2.547770700636943
407,413,414,424,425,408,409,14033,2.67515923566879
397,408,396,433,409,408,419,14731,2.802547770700637
407,413,393,401,408,403,411,15530,2.9299363057324843
411,409,393,426,408,412,419,15530,3.0573248407643314
419,409,416,418,408,408,411,7088,3.1847133757961785
411,409,424,426,406,408,422,6169,3.3121019108280256
426,417,416,418,406,408,391,6169,3.4394904458598727
412,417,421,410,408,412,393,5495,3.56687898089172
412,410,409,384,420,412,393,5495,3.694267515923567
412,410,409,384,409,412,402,6848,3.821656050955414
407,410,409,407,420,415,422,7842,3.949044585987261
412,417,400,412,413,415,422,8646,4.076433121019108
407,403,405,412,413,417,402,10319,4.203821656050955
409,417,405,393,413,415,402,12856,4.3312101910828025
407,419,405,387,418,415,402,12856,4.45859872611465
407,419,409,387,418,409,402,12765,4.585987261146497
406,414,400,406,416,409,391,10756,4.713375796178344
406,414,403,424,415,415,391,10756,4.840764331210191
406,422,403,406,415,415,395,15739,4.968152866242038
417,422,403,405,415,400,395,15739,5.095541401273886
402,412,402,386,404,400,391,12996,5.222929936305733
417,412,402,395,404,402,391,8967,5.35031847133758
401,417,402,370,404,403,387,7792,5.477707006369427
399,419,405,370,422,403,401,7595,5.605095541401274
398,431,402,370,415,403,400,7595,5.7324840764331215
398,426,400,398,420,408,400,7051,5.859872611464969
398,426,400,421,415,408,400,5743,5.987261146496816
398,415,404,398,420,400,395,5043,6.114649681528663
398,415,407,387,410,400,396,4867,6.24203821656051
402,406,407,386,416,400,395,4867,6.369426751592357
404,408,407,387,416,400,396,4867,6.496815286624204
402,408,400,393,416,400,402,5402,6.624203821656051
399,419,400,393,422,400,411,5402,6.751592356687898
397,419,400,379,415,403,411,5291,6.8789808917197455
397,406,402,379,422,393,394,5291,7.006369426751593
400,406,402,382,415,403,394,5291,7.13375796178344
402,410,410,401,425,415,400,4988,7.261146496815287
400,413,410,401,411,415,400,4907,7.388535031847134
394,413,400,399,422,401,400,4988,7.515923566878981
394,413,397,399,411,398,411,13355,7.643312101910828
402,420,395,400,411,393,411,13355,7.770700636942675
402,406,397,408,411,398,405,10930,7.898089171974522
402,410,409,400,423,396,405,8277,8.02547770700637
411,406,409,389,425,396,398,8277,8.152866242038217
411,410,405,389,425,396,413,8903,8.280254777070065
411,406,400,398,417,408,396,8903,8.40764331210191
412,413,400,415,416,408,398,8318,8.535031847133759
412,413,400,405,407,408,396,5212,8.662420382165605
412,413,405,405,395,408,398,5212,8.789808917197453
417,405,405,375,407,408,395,10360,8.9171974522293
415,405,405,375,404,381,418,10360,9.044585987261147
419,414,405,396,411,381,418,12971,9.171974522292993
415,414,405,396,411,386,418,11669,9.299363057324841
412,405,395,412,418,390,413,12712,9.426751592356688
412,405,395,393,418,390,393,12712,9.554140127388536
409,413,395,391,425,396,413,12712,9.681528662420382
424,422,398,391,425,397,409,7389,9.80891719745223
409,422,404,386,422,396,417,7200,9.936305732484076
402,422,398,392,418,391,415,7200,10.063694267515924
399,429,404,386,418,391,416,6944,10.191082802547772
399,410,407,381,399,396,416,6944,10.318471337579618
404,418,407,381,413,414,416,7957,10.445859872611466
416,410,403,429,399,429,426,8826,10.573248407643312
404,418,403,429,391,414,415,8826,10.70063694267516
407,410,405,419,391,398,413,8575,10.828025477707007
407,427,405,419,411,398,413,8263,10.955414012738855
407,427,410,382,411,405,418,8090,11.0828025477707
395,429,405,396,406,407,418,8009,11.210191082802549
390,429,405,396,403,407,418,8009,11.337579617834395
395,429,405,396,404,401,410,8104,11.464968152866243
390,417,404,391,404,401,417,8366,11.59235668789809
399,424,397,391,406,424,417,8366,11.719745222929937
397,424,397,391,413,424,418,7775,11.847133757961783
399,424,396,386,422,422,418,6820,11.974522292993631
397,408,396,386,422,415,387,5389,12.101910828025478
397,407,397,397,422,410,387,5389,12.229299363057326
397,408,407,397,422,397,400,6366,12.356687898089172
395,410,407,384,414,397,413,8138,12.48407643312102
402,418,398,384,422,403,411,8921,12.611464968152866
393,422,391,389,421,410,411,10117,12.738853503184714
393,422,398,389,421,410,406,12724,12.86624203821656
393,415,385,389,401,390,395,12724,12.993630573248408
392,411,393,406,401,390,393,6930,13.121019108280255
405,408,393,424,420,385,395,687,13.248407643312103
402,408,393,424,420,398,402,641,13.37579617834395
404,415,395,419,432,410,402,641,13.503184713375797
404,429,395,404,408,412,402,612,13.630573248407645
407,427,395,384,432,412,2845,588,13.757961783439491
407,427,395,398,427,430,3010,555,13.885350318471339
394,424,390,377,427,1451,3010,545,14.012738853503185
385,424,388,379,416,3351,703,545,14.140127388535033
385,424,388,379,416,3650,552,562,14.26751592356688
388,416,400,379,424,4281,457,562,14.394904458598727
388,413,400,382,521,3650,448,514,14.522292993630574
385,416,400,388,2979,1769,426,514,14.649681528662422
385,413,397,400,12496,499,419,531,14.777070063694268
385,413,397,400,12496,468,417,531,14.904458598726116
402,406,390,400,12146,471,417,519,15.031847133757962
419,406,390,2057,3371,468,417,519,15.15923566878981
419,406,404,3134,530,442,437,519,15.286624203821656
405,424,404,8584,492,442,444,519,15.414012738853504
405,406,404,4062,492,442,444,517,15.54140127388535
402,405,1124,4062,492,469,457,517,15.668789808917198
402,405,1124,1811,477,437,435,485,15.796178343949045
402,410,1124,1414,477,437,432,480,15.923566878980893
402,592,3233,428,451,419,418,478,16.05095541401274
402,2471,3233,428,451,419,418,480,16.178343949044585
402,3735,1185,512,477,434,426,481,16.305732484076433
