Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8
437,407,393,423,412,424,411,466
437,407,404,412,412,404,426,1008
425,397,404,396,407,409,411,445
405,393,407,396,399,409,426,445
396,397,400,413,399,414,396,445
405,402,397,425,399,414,430,849
394,402,395,434,397,391,432,1582
401,388,393,434,395,389,439,849
400,388,395,434,391,389,441,16323
401,402,399,410,395,389,448,343
400,417,399,402,392,391,448,410
411,402,399,402,399,409,401,360
401,393,397,402,399,409,401,370
401,393,397,400,402,401,401,363
401,404,397,400,406,399,397,370
401,404,402,402,402,399,397,363
401,409,402,402,398,408,397,372
396,404,400,397,398,408,397,380
396,404,400,397,411,402,397,2378
390,404,400,394,411,402,396,392
404,392,399,389,408,409,396,2546
419,412,393,389,392,427,403,1407
419,400,399,388,408,413,412,2546
398,402,409,399,395,413,403,12930
396,402,409,416,411,408,401,12930
398,406,397,416,402,408,401,15068
396,406,392,439,402,408,410,327
396,406,392,404,395,392,410,10729
396,389,395,405,395,392,396,10729
402,411,401,404,406,418,396,13793
420,402,400,405,406,430,394,13793
402,411,401,407,406,431,397,1794
415,402,402,425,405,438,397,1786
414,395,407,407,404,438,432,1786
414,392,407,404,399,435,432,1786
408,392,399,404,399,421,435,15947
408,392,399,433,399,403,428,15947
400,392,402,433,402,403,431,14566
400,392,402,409,402,403,423,12386
400,392,395,386,397,408,419,7824
415,407,395,386,397,386,419,6729
415,409,399,406,404,408,441,821
405,409,409,406,411,410,441,720
400,387,413,401,413,410,418,821
400,383,409,386,411,389,401,5147
403,378,407,401,401,389,418,13189
403,378,402,421,399,389,389,13189
403,385,400,421,399,406,414,11993
400,399,396,418,401,428,404,11993
400,399,396,418,403,428,414,12863
398,399,395,444,401,415,427,13231
398,389,395,444,403,415,427,13231
398,395,395,397,406,415,436,9761
400,389,401,397,432,399,447,9761
400,378,401,416,432,399,449,9761
400,378,401,416,427,403,447,173
400,397,404,403,399,404,441,173
422,397,395,386,399,423,436,173
422,399,401,386,399,423,436,724
415,399,392,385,381,399,444,742
415,390,401,410,402,399,444,810
415,390,409,385,402,409,439,1408
414,397,409,381,404,413,439,1408
414,397,396,381,404,421,432,1182
408,397,396,413,404,421,442,844
408,403,402,413,423,423,432,844
408,403,403,396,423,423,434,945
422,394,403,396,431,427,429,945
409,382,398,439,422,427,426,635
409,382,394,439,427,394,426,635
404,378,394,429,427,393,426,1088
398,380,403,389,427,394,422,1523
404,380,403,389,422,394,422,3426
