Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Time (s)
408,405,407,423,416,412,421,4524,0.0
408,405,407,423,417,405,410,4535,0.12738853503184713
401,405,404,412,416,405,397,4535,0.25477707006369427
401,405,403,412,411,404,410,4501,0.3821656050955414
416,404,402,405,411,417,416,435,0.5095541401273885
428,404,402,424,416,404,416,4463,0.6369426751592357
416,407,406,405,417,380,412,4463,0.7643312101910829
402,407,408,384,417,380,405,9510,0.89171974522293
401,400,408,384,400,380,405,10746,1.019108280254777
401,400,406,404,400,410,408,10746,1.1464968152866242
401,400,406,404,419,392,427,6900,1.2738853503184715
401,398,406,404,419,397,409,6900,1.4012738853503186
397,398,406,412,386,392,409,10072,1.5286624203821657
397,398,397,414,386,397,409,11366,1.6560509554140128
399,400,397,414,405,373,421,11366,1.78343949044586
399,403,394,400,414,404,421,10800,1.910828025477707
399,403,396,400,405,404,430,10746,2.038216560509554
401,393,396,389,404,404,412,10746,2.1656050955414012
396,393,406,394,404,397,412,11111,2.2929936305732483
396,409,409,394,407,397,412,11586,2.4203821656050954
396,409,409,398,407,410,421,12290,2.547770700636943
412,405,395,429,407,410,421,12918,2.67515923566879
416,405,395,429,400,387,421,14117,2.802547770700637
412,400,402,409,400,386,424,15369,2.9299363057324843
404,409,407,409,400,386,424,15369,3.0573248407643314
404,402,407,431,410,386,424,14841,3.1847133757961785
404,402,409,431,410,385,436,13437,3.3121019108280256
409,400,409,428,410,400,436,13059,3.4394904458598727
409,391,409,427,409,400,433,12071,3.56687898089172
404,398,409,427,397,400,430,12071,3.694267515923567
389,391,409,419,397,405,427,13412,3.821656050955414
389,398,404,394,421,395,410,14305,3.949044585987261
408,393,401,394,421,395,410,15346,4.076433121019108
419,407,401,415,414,387,420,15600,4.203821656050955
408,407,398,415,414,387,425,15600,4.3312101910828025
406,407,405,415,414,390,425,14804,4.45859872611465
406,407,407,399,394,416,425,13760,4.585987261146497
399,400,407,415,394,416,423,13727,4.713375796178344
396,400,407,407,394,404,423,13727,4.840764331210191
396,395,407,407,394,403,423,14123,4.968152866242038
399,395,399,407,418,390,438,14817,5.095541401273886
421,391,407,398,391,402,438,14817,5.222929936305733
421,390,407,417,396,402,430,13511,5.35031847133758
409,390,415,436,396,402,430,12806,5.477707006369427
395,398,418,436,396,395,429,12528,5.605095541401274
395,398,415,392,400,394,429,12520,5.7324840764331215
401,398,409,392,400,384,429,12387,5.859872611464969
404,398,409,433,400,394,418,12387,5.987261146496816
401,398,407,440,416,385,418,13590,6.114649681528663
401,398,407,433,428,404,418,13590,6.24203821656051
401,403,407,402,438,399,434,2938,6.369426751592357
404,396,409,402,438,404,438,2938,6.496815286624204
411,409,409,412,395,399,434,3609,6.624203821656051
404,409,401,412,395,395,434,6595,6.751592356687898
428,409,401,410,403,392,434,7190,6.8789808917197455
397,403,406,410,403,392,434,7306,7.006369426751593
403,384,406,411,403,399,442,7190,7.13375796178344
403,384,409,433,414,399,451,6427,7.261146496815287
403,393,405,411,405,393,451,3386,7.388535031847134
413,393,405,389,410,393,444,3386,7.515923566878981
402,393,405,389,405,390,427,15153,7.643312101910828
401,388,404,396,403,390,427,15153,7.770700636942675
399,381,404,401,401,390,436,5308,7.898089171974522
399,381,404,396,396,395,436,5308,8.02547770700637
408,386,400,396,396,395,422,8236,8.152866242038217
408,395,400,382,409,400,416,8305,8.280254777070065
420,397,414,382,412,385,422,8350,8.40764331210191
420,395,414,393,409,385,415,8305,8.535031847133759
426,397,410,398,394,385,422,8331,8.662420382165605
407,384,404,407,394,390,422,8130,8.789808917197453
407,397,399,407,414,390,422,8101,8.9171974522293
407,397,399,413,416,385,427,8076,9.044585987261147
425,397,406,413,414,385,428,7898,9.171974522292993
425,386,406,413,410,385,427,7648,9.299363057324841
411,383,407,438,410,383,428,7609,9.426751592356688
392,381,394,415,414,383,424,7638,9.554140127388536
392,377,407,431,414,383,435,7609,9.681528662420382
387,377,399,415,402,375,435,7504,9.80891719745223
391,385,404,405,402,375,435,7323,9.936305732484076
391,385,404,405,411,398,431,7255,10.063694267515924
394,390,405,436,411,398,422,7137,10.191082802547772
395,391,407,436,413,373,422,7024,10.318471337579618
428,391,407,432,413,373,422,6789,10.445859872611466
428,404,404,429,413,385,426,6672,10.573248407643312
406,390,400,412,407,390,428,6570,10.70063694267516
399,388,400,398,407,388,426,6517,10.828025477707007
394,388,407,398,417,397,420,5507,10.955414012738855
394,386,407,408,417,400,420,5507,11.0828025477707
394,390,400,425,421,400,420,5732,11.210191082802549
418,390,400,408,416,380,426,5795,11.337579617834395
394,400,400,408,394,380,430,5800,11.464968152866243
401,412,400,408,394,388,435,6420,11.59235668789809
401,412,400,408,396,388,435,6946,11.719745222929937
404,395,407,412,396,383,433,7029,11.847133757961783
404,393,407,412,404,380,433,7029,11.974522292993631
404,393,407,421,395,378,429,7029,12.101910828025478
411,393,407,401,395,375,405,4807,12.229299363057326
413,388,407,417,395,378,405,4807,12.356687898089172
413,386,409,417,398,385,420,4799,12.48407643312102
413,386,407,417,398,395,428,4772,12.611464968152866
409,391,409,432,393,412,645,4754,12.738853503184714
401,397,405,447,393,446,645,4752,12.86624203821656
401,397,409,447,395,2350,465,4736,12.993630573248408
397,397,400,387,591,2350,455,4684,13.121019108280255
402,407,400,387,1822,413,448,4684,13.248407643312103
397,395,388,403,5830,413,448,4688,13.37579617834395
402,395,388,436,5830,415,436,4688,13.503184713375797
396,388,385,1133,990,415,429,4678,13.630573248407645
396,388,385,8209,426,405,429,4662,13.757961783439491
396,386,385,8209,407,385,431,4655,13.885350318471339
387,378,1717,538,419,385,437,4651,14.012738853503185
396,378,3324,454,402,381,431,4644,14.140127388535033
410,1010,3324,419,390,390,423,4637,14.26751592356688
410,5975,449,424,390,390,423,4642,14.394904458598727
410,5975,448,414,407,390,423,4634,14.522292993630574
406,5975,445,424,407,390,424,4639,14.649681528662422
423,1709,448,436,406,394,423,4637,14.777070063694268
423,1709,1528,443,406,394,426,4637,14.904458598726116
424,462,5020,443,406,392,426,4630,15.031847133757962
424,424,7630,436,406,392,426,4630,15.15923566878981
423,419,7630,436,406,381,392,4626,15.286624203821656
418,417,728,1205,406,385,392,4573,15.414012738853504
418,393,446,6017,407,382,398,4566,15.54140127388535
416,393,441,6017,645,385,403,4566,15.668789808917198
401,393,417,748,2327,395,419,4598,15.796178343949045
409,395,417,536,4849,395,403,4598,15.923566878980893
396,395,417,441,5980,395,397,4595,16.05095541401274
396,395,415,436,5980,610,397,4583,16.178343949044585
396,399,415,416,978,2165,399,4579,16.305732484076433
403,403,420,436,563,5815,406,4578,16.43312101910828
403,403,420,409,445,5815,417,4578,16.56050955414013
414,407,420,411,443,1173,923,4572,16.687898089171977
394,389,429,411,445,460,5792,4539,16.81528662420382
421,398,429,423,443,460,5792,4539,16.94267515923567
409,398,415,442,457,6628,559,4550,17.070063694267517
412,398,415,442,608,6628,468,4550,17.197452229299365
412,403,423,405,1663,222,465,4550,17.32484076433121
412,396,423,405,5844,222,460,4558,17.452229299363058
397,396,420,416,8253,410,436,4566,17.579617834394906
395,395,410,462,8253,423,436,4563,17.707006369426754
395,395,412,2313,1040,423,457,4563,17.8343949044586
412,395,412,3951,793,418,457,4554,17.961783439490446
412,395,413,11537,450,415,457,4554,18.089171974522294
409,398,421,11537,428,418,447,4553,18.216560509554142
409,395,774,1192,413,415,438,4553,18.343949044585987
409,394,2325,455,413,391,428,4537,18.471337579617835
399,394,6813,415,413,391,432,4537,18.598726114649683
397,394,6813,415,410,396,432,4538,18.72611464968153
399,569,5236,415,405,396,432,4538,18.853503184713375
407,1685,1278,443,407,389,428,4535,18.980891719745223
407,8096,449,443,407,389,424,4534,19.10828025477707
426,8096,447,438,407,389,422,4534,19.23566878980892
2124,444,426,419,389,378,424,4534,19.363057324840764
10847,415,426,419,389,363,418,4534,19.49044585987261
10847,420,426,402,389,368,413,4547,19.61783439490446
6662,420,418,428,389,364,411,4547,19.745222929936308
526,5171,409,428,397,368,413,4524,19.872611464968152
474,5171,418,428,397,369,420,4522,20.0
464,432,3151,444,411,369,420,4522,20.127388535031848
452,418,3151,444,395,373,420,4526,20.254777070063696
452,420,1125,798,408,381,424,4526,20.382165605095544
459,420,431,8328,396,381,424,4524,20.50955414012739
459,420,417,8328,408,383,424,4524,20.636942675159236
444,404,417,831,2139,368,418,4528,20.764331210191084
437,404,429,417,2139,388,415,4528,20.891719745222932
430,401,429,410,727,1194,415,4525,21.019108280254777
427,401,427,401,401,3409,424,4522,21.146496815286625
427,390,422,410,397,3409,427,4522,21.273885350318473
427,390,422,415,390,392,1904,4520,21.40127388535032
440,394,422,415,393,392,6622,4517,21.528662420382165
440,401,408,411,386,389,8967,4515,21.656050955414013
440,401,408,401,393,398,8967,4515,21.78343949044586
440,401,417,401,401,1838,1233,4515,21.91082802547771
444,399,426,402,402,2561,507,4510,22.038216560509554
444,399,427,402,824,2561,498,4510,22.1656050955414
418,380,426,402,5056,569,492,4510,22.29299363057325
418,380,424,408,5056,406,465,4510,22.420382165605098
420,380,424,602,3541,380,463,4510,22.547770700636942
427,389,424,2335,522,380,427,4510,22.67515923566879
428,389,417,8463,466,380,427,4510,22.802547770700638
427,389,417,8463,464,383,427,4510,22.929936305732486
428,395,1723,1143,436,378,455,4510,23.05732484076433
435,401,6753,449,436,383,424,4500,23.18471337579618
435,459,6753,448,436,405,455,4503,23.312101910828027
420,482,5656,449,415,405,429,4500,23.439490445859875
413,1585,1870,448,396,365,443,4493,23.566878980891723
413,2570,484,418,396,365,437,4493,23.694267515923567
416,2570,427,409,416,365,437,4497,23.821656050955415
1284,602,437,409,416,364,429,4497,23.949044585987263
8045,413,427,409,416,358,429,4493,24.07643312101911
14187,407,422,414,412,358,429,4493,24.203821656050955
14187,407,422,402,402,378,420,4492,24.331210191082803
3778,1045,422,416,402,378,420,4488,24.45859872611465
570,4816,422,416,403,345,427,4486,24.5859872611465
517,4816,441,416,403,339,427,4486,24.713375796178344
517,681,889,442,384,339,424,4493,24.840764331210192
490,428,1396,413,384,344,418,4493,24.96815286624204
490,418,1396,468,391,345,414,4493,25.095541401273888
485,393,1306,1388,400,345,405,4494,25.222929936305732
483,392,475,2127,400,349,413,4494,25.35031847133758
478,390,449,3569,400,363,413,4494,25.477707006369428
465,388,420,3569,659,379,413,4491,25.605095541401276
465,385,420,446,4703,379,416,4491,25.73248407643312
465,385,420,432,8203,355,405,4491,25.85987261146497
480,385,418,446,8203,355,434,4489,25.987261146496817
473,385,418,449,747,2814,447,4489,26.114649681528665
473,383,428,449,445,11595,447,4491,26.24203821656051
473,373,428,441,431,11595,447,4493,26.369426751592357
465,369,412,422,429,670,3082,4494,26.496815286624205
468,369,412,422,398,438,9612,4508,26.624203821656053
464,373,419,415,411,394,11637,4502,26.7515923566879
468,381,419,408,403,394,9612,4502,26.878980891719745
470,395,423,408,411,1198,5654,4481,27.006369426751593
471,395,411,409,403,9324,514,4481,27.13375796178344
470,371,408,409,395,9324,514,4484,27.26114649681529
471,371,407,409,395,6125,514,4487,27.388535031847134
476,385,407,410,1633,1615,494,4487,27.515923566878982
476,385,411,410,3310,458,473,4490,27.64331210191083
473,383,416,414,7418,424,459,4490,27.770700636942678
471,380,416,444,7418,429,459,4492,27.898089171974522
473,380,420,3902,415,424,461,4492,28.02547770700637
485,373,435,7123,390,426,461,4491,28.15286624203822
485,378,451,7123,415,422,460,4491,28.280254777070066
